RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,SALE PRICE_BOROUGH,SALE PRICE_NEIGHBORHOOD,SALE PRICE_TAX,SALE PRICE_BUILDING_CLASS
1.0,0.0,1.0,10400,1136,62.0,836270.3489777793,340114.9777242734,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,640,980,27.0,836270.3489777793,164941.98785813747,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2250,1584,118.0,5063551.579976352,1118861.5774170554,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,5000,2690,99.0,4802954.856186422,490272.09492791106,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,6808,1660,84.0,836270.3489777793,399503.89884084417,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,1500,1800,114.0,5063551.579976352,2781265.286579693,1017245.6915716137,9385416.083075248
3.0,0.0,3.0,1950,4189,10.0,3861703.9736522343,2308860.301698142,1017245.6915716137,1924544.175486551
1.0,0.0,1.0,143430,1188,35.0,836270.3489777793,316344.1739510204,1017245.6915716137,9199411.590265727
3.0,0.0,3.0,2558,2160,102.0,5063551.579976352,585974.0009088849,1017245.6915716137,1924544.175486551
0.0,2.0,2.0,7532,112850,9.0,35225126.574949324,18890182.40240153,32271016.052699663,15639642.256123416
0.0,2.0,2.0,2772,3360,97.0,4802954.856186422,2905274.889411583,32271016.052699663,1924544.175486551
2.0,0.0,2.0,6966,2115,41.0,836270.3489777793,119759.35452278386,1017245.6915716137,5605166.105268096
1.0,0.0,1.0,24000,870,10.0,4802954.856186422,4120071.3281049994,14936873.340818262,9385416.083075248
1.0,0.0,1.0,2240,2015,8.0,836270.3489777793,191168.6031901954,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,4620,2940,97.0,836270.3489777793,173350.72877710586,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,4000,875,70.0,4802954.856186422,224477.4231203304,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,995,1680,20.0,836270.3489777793,313299.56112378626,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,1785,3012,13.0,5063551.579976352,149050.47312701354,1017245.6915716137,2148745.0045972625
0.0,1.0,1.0,2500,2250,89.0,5063551.579976352,6201030.1046498455,32271016.052699663,9199411.590265727
0.0,1.0,1.0,4500,2880,85.0,836270.3489777793,195068.9567478321,32271016.052699663,5605166.105268096
1.0,0.0,1.0,1261,1261,3.0,4802954.856186422,26014559.60558188,14936873.340818262,9385416.083075248
1.0,0.0,1.0,4750,1013,68.0,4802954.856186422,411105.95406102965,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,3192,1284,80.0,4802954.856186422,5978378.233137703,1017245.6915716137,7146171.931056228
1.0,0.0,1.0,6040,1360,94.0,4802954.856186422,1995128.5510011297,1017245.6915716137,7197867.78196626
2.0,0.0,2.0,1955,1216,83.0,3861703.9736522343,861315.1810494018,1017245.6915716137,8378411.299899098
6.0,0.0,6.0,2900,5100,92.0,5063551.579976352,709878.4400812393,14936873.340818262,9385416.083075248
2.0,0.0,2.0,4532,2444,54.0,836270.3489777793,151307.79145039085,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,3000,2976,49.0,4802954.856186422,1093383.352206826,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,1667,2001,98.0,5063551.579976352,2781265.286579693,1017245.6915716137,21104247.57518568
2.0,0.0,2.0,1900,2394,118.0,5063551.579976352,1990931.7424527043,1017245.6915716137,8096569.671146394
4.0,0.0,4.0,2500,3200,90.0,3861703.9736522343,3177357.106902266,14936873.340818262,9385416.083075248
1.0,0.0,1.0,560,1553,23.0,836270.3489777793,164941.98785813747,1017245.6915716137,9385416.083075248
1.0,1.0,2.0,1600,2208,86.0,836270.3489777793,313299.56112378626,1017245.6915716137,8960340.83311872
0.0,1.0,1.0,10858,1320,68.0,5063551.579976352,3073845.966364747,32271016.052699663,8280849.799597023
4.0,0.0,4.0,3720,4242,112.0,3861703.9736522343,1908618.879618677,14936873.340818262,8839384.08893964
1.0,0.0,1.0,3570,1019,90.0,4802954.856186422,4536793.06880105,1017245.6915716137,7146171.931056228
1.0,0.0,1.0,3491,1230,79.0,4802954.856186422,624436.8669998307,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2088,1683,76.0,4802954.856186422,1220419.8188183976,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,3563,2584,18.0,3861703.9736522343,2611309.9224563097,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2400,2395,87.0,4802954.856186422,3525347.0874369014,1017245.6915716137,3748205.2976491596
1.0,0.0,1.0,3700,2100,68.0,4802954.856186422,2324084.2196704787,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,4000,1344,77.0,4802954.856186422,3443878.576130942,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,4125,3295,89.0,836270.3489777793,1701993.939526431,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,1800,1690,81.0,3861703.9736522343,2105712.0261747367,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,3631,2310,118.0,3861703.9736522343,12075171.332350075,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,1550,1520,96.0,4802954.856186422,336468.23293124296,1017245.6915716137,3485652.1876102965
2.0,0.0,2.0,7500,2320,83.0,3861703.9736522343,585676.7337998708,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,17421,1455,3.0,5063551.579976352,2582674.6679680957,1017245.6915716137,11911934.242831849
1.0,0.0,1.0,5600,960,52.0,836270.3489777793,334546.6248663238,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,2600,1116,65.0,4802954.856186422,998937.4570855985,1017245.6915716137,10272188.624471162
1.0,0.0,1.0,7540,1872,77.0,4802954.856186422,616211.6031036944,1017245.6915716137,3748205.2976491596
1.0,0.0,1.0,4000,1038,75.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,905,62.0,4802954.856186422,224905.3363518097,1017245.6915716137,5605166.105268096
6.0,0.0,6.0,2013,6060,119.0,35225126.574949324,22796530.186889984,14936873.340818262,8960340.83311872
3.0,0.0,3.0,1575,2949,15.0,3861703.9736522343,4125660.0651885346,1017245.6915716137,8960340.83311872
5.0,0.0,5.0,2180,3977,114.0,5063551.579976352,5419054.229409519,14936873.340818262,5770737.687805806
1.0,0.0,1.0,4000,1550,64.0,4802954.856186422,276003.28862739983,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,700,1050,26.0,836270.3489777793,287573.2088778694,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,3570,1235,88.0,4802954.856186422,4536793.06880105,1017245.6915716137,4706271.377821998
3.0,0.0,3.0,1667,2184,120.0,5063551.579976352,1990931.7424527043,1017245.6915716137,7197867.78196626
1.0,0.0,1.0,2592,1751,118.0,35225126.574949324,39766358.2471985,14936873.340818262,5770737.687805806
1.0,0.0,1.0,2150,1204,95.0,5063551.579976352,281349.6290683214,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2944,1280,50.0,836270.3489777793,399503.89884084417,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,1940,2152,89.0,5063551.579976352,1886526.231223137,1017245.6915716137,9385416.083075248
0.0,1.0,1.0,4375,52155,10.0,35225126.574949324,25609513.695847735,32271016.052699663,9385416.083075248
1.0,0.0,1.0,500,1150,26.0,836270.3489777793,181967.1764551378,1017245.6915716137,4690409.247198905
2.0,0.0,2.0,2492,1881,78.0,3861703.9736522343,1893200.2006191276,1017245.6915716137,9385416.083075248
0.0,3.0,3.0,1152,1200,17.0,836270.3489777793,951368.8253387164,32271016.052699663,5605166.105268096
0.0,2.0,2.0,2500,5000,94.0,3861703.9736522343,10686327.243538385,32271016.052699663,7197867.78196626
1.0,0.0,1.0,3800,956,59.0,836270.3489777793,399503.89884084417,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2419,1312,59.0,836270.3489777793,448233.291161978,1017245.6915716137,4343821.370997797
2.0,0.0,2.0,2723,2400,16.0,4802954.856186422,5978378.233137703,1017245.6915716137,1502799.8878059827
1.0,0.0,1.0,3200,1346,81.0,4802954.856186422,622297.6188312045,1017245.6915716137,51823874.43500045
1.0,0.0,1.0,1313,1392,117.0,3861703.9736522343,9626537.89204008,1017245.6915716137,8096569.671146394
3.0,0.0,3.0,2308,3202,54.0,4802954.856186422,3525347.0874369014,1017245.6915716137,9385416.083075248
0.0,2.0,2.0,6538,5770,69.0,4802954.856186422,864596.1995937392,32271016.052699663,9385416.083075248
3.0,0.0,3.0,2297,3030,12.0,3861703.9736522343,4125660.0651885346,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,3500,1395,82.0,4802954.856186422,3658924.870576323,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,1250,792,108.0,4802954.856186422,26014559.60558188,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,3800,2565,108.0,5063551.579976352,2781265.286579693,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,1602,1633,67.0,3861703.9736522343,216212.29867235982,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,2500,1140,92.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2000,2280,119.0,5063551.579976352,1990931.7424527043,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,2502,2015,88.0,4802954.856186422,4369043.0271755755,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,1899,1994,18.0,4802954.856186422,5978378.233137703,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,3900,1974,60.0,4802954.856186422,642040.7917223212,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,4000,1860,98.0,836270.3489777793,336627.6804035552,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1933,1760,120.0,5063551.579976352,5321808.938237579,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,2185,2090,120.0,5063551.579976352,1118861.5774170554,1017245.6915716137,7146171.931056228
2.0,0.0,2.0,3046,1848,11.0,4802954.856186422,183492.55276830532,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,1670,1480,32.0,836270.3489777793,316344.1739510204,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,7117,1666,69.0,4802954.856186422,223148.97204637624,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,2100,1156,103.0,4802954.856186422,320659.4979397228,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2500,2100,82.0,3861703.9736522343,1593768.1236242838,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,2000,1096,87.0,4802954.856186422,281746.1590163814,1017245.6915716137,2677306.5026981877
2.0,0.0,2.0,2200,1512,100.0,5063551.579976352,8465665.880754348,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,1200,72.0,4802954.856186422,183724.9784801987,1017245.6915716137,17222971.455350507
0.0,4.0,4.0,9500,28500,103.0,3861703.9736522343,3177357.106902266,32271016.052699663,8096569.671146394
1.0,0.0,1.0,1800,1224,57.0,5063551.579976352,8465665.880754348,1017245.6915716137,8378411.299899098
1.0,0.0,1.0,2200,902,84.0,4802954.856186422,1822764.4671913718,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,1900,1880,56.0,4802954.856186422,349183.0363051897,1017245.6915716137,2468162.7594685624
2.0,0.0,2.0,3500,2150,18.0,4802954.856186422,642040.7917223212,1017245.6915716137,9385416.083075248
4.0,1.0,5.0,1000,5055,118.0,35225126.574949324,25609513.695847735,32271016.052699663,9385416.083075248
1.0,0.0,1.0,2070,1200,27.0,836270.3489777793,188459.38607581737,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,4000,2868,103.0,4802954.856186422,3525347.0874369014,1017245.6915716137,23901191.7167493
2.0,0.0,2.0,3194,5016,94.0,5063551.579976352,5419054.229409519,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2559,3070,100.0,3861703.9736522343,5411514.810193475,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,3298,1848,119.0,5063551.579976352,1658356.4436470466,1017245.6915716137,7197867.78196626
1.0,0.0,1.0,3150,1332,87.0,4802954.856186422,4536793.06880105,1017245.6915716137,4706271.377821998
1.0,0.0,1.0,4100,1232,109.0,836270.3489777793,2400207.3691350175,1017245.6915716137,4343821.370997797
2.0,0.0,2.0,2000,1585,68.0,4802954.856186422,3792714.9696544283,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2600,1734,48.0,4802954.856186422,276003.28862739983,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,4210,1170,69.0,836270.3489777793,923506.1855513548,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,2375,1768,99.0,4802954.856186422,1066619.3996571056,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2000,1375,67.0,4802954.856186422,3792714.9696544283,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,2700,1760,109.0,4802954.856186422,4369043.0271755755,1017245.6915716137,9385416.083075248
6.0,2.0,8.0,1680,2118,107.0,35225126.574949324,18546047.430980895,14936873.340818262,6669013.842240822
1.0,0.0,1.0,2342,1612,94.0,4802954.856186422,1066619.3996571056,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2325,2128,97.0,4802954.856186422,336468.23293124296,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,4315,1273,103.0,836270.3489777793,324730.1510149914,1017245.6915716137,5770737.687805806
4.0,0.0,4.0,2500,2900,101.0,4802954.856186422,1828081.3506090902,14936873.340818262,5605166.105268096
1.0,0.0,1.0,3700,2140,67.0,4802954.856186422,1520276.6915333157,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,4972,912,49.0,836270.3489777793,229046.85581260614,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2375,2816,61.0,3861703.9736522343,3435036.856810598,1017245.6915716137,5770737.687805806
2.0,0.0,2.0,3800,1322,73.0,4802954.856186422,1805267.7243366921,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2000,1386,88.0,4802954.856186422,320659.4979397228,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2750,1550,93.0,5063551.579976352,362855.71570566425,1017245.6915716137,8378411.299899098
2.0,0.0,2.0,2165,1120,98.0,5063551.579976352,2093781.0712347392,1017245.6915716137,9499686.195361389
1.0,0.0,1.0,2790,1614,41.0,836270.3489777793,164941.98785813747,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,2500,3125,110.0,4802954.856186422,4369043.0271755755,1017245.6915716137,8960340.83311872
0.0,1.0,1.0,46978,140805,1.0,5063551.579976352,7115773.454916387,32271016.052699663,16615671.78962391
3.0,0.0,3.0,9700,1332,99.0,4802954.856186422,3525347.0874369014,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,2500,2376,11.0,3861703.9736522343,3435036.856810598,1017245.6915716137,891786.0069457617
1.0,0.0,1.0,5000,1716,98.0,836270.3489777793,353660.7854871189,1017245.6915716137,3748205.2976491596
0.0,1.0,1.0,3750,6675,90.0,4802954.856186422,3658924.870576323,32271016.052699663,7197867.78196626
0.0,2.0,2.0,5410,2160,64.0,3861703.9736522343,214633.13638460406,32271016.052699663,75369156.66711362
8.0,0.0,8.0,3117,10160,87.0,5063551.579976352,1990931.7424527043,14936873.340818262,9199411.590265727
1.0,0.0,1.0,59156,1127,3.0,35225126.574949324,38877006.01438477,14936873.340818262,7510504.63718403
0.0,1.0,1.0,2031,1906,22.0,836270.3489777793,923506.1855513548,32271016.052699663,8960340.83311872
2.0,0.0,2.0,1833,1800,117.0,5063551.579976352,1118861.5774170554,1017245.6915716137,9499686.195361389
1.0,0.0,1.0,7400,2160,44.0,836270.3489777793,247185.63756474943,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,3500,1536,94.0,4802954.856186422,320659.4979397228,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,1082,1190,27.0,836270.3489777793,399503.89884084417,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,5005,3300,60.0,5063551.579976352,8465665.880754348,1017245.6915716137,9880790.642804565
1.0,0.0,1.0,4000,1960,87.0,4802954.856186422,357380.02614096954,1017245.6915716137,9385416.083075248
4.0,0.0,4.0,2750,3198,87.0,5063551.579976352,4752688.856480637,14936873.340818262,6669013.842240822
0.0,1.0,1.0,34479,32000,49.0,4802954.856186422,3801467.7269542115,32271016.052699663,9199411.590265727
2.0,0.0,2.0,2450,1520,97.0,4802954.856186422,1722204.7950529396,1017245.6915716137,2468162.7594685624
1.0,0.0,1.0,4067,1806,63.0,3861703.9736522343,221814.44087611348,1017245.6915716137,5366444.865610001
1.0,0.0,1.0,3325,1480,97.0,4802954.856186422,2688846.059059772,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,5300,3640,27.0,836270.3489777793,581745.5040940833,1017245.6915716137,9199411.590265727
1.0,0.0,1.0,3200,1200,30.0,836270.3489777793,207110.8462204024,1017245.6915716137,927307.5589397498
1.0,0.0,1.0,4000,1581,58.0,4802954.856186422,490272.09492791106,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2000,1216,80.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
0.0,1.0,1.0,10070,7836,87.0,836270.3489777793,611898.4980538915,32271016.052699663,4690409.247198905
1.0,0.0,1.0,2742,1616,89.0,4802954.856186422,225464.37264503955,1017245.6915716137,9385416.083075248
1.0,0.0,1.0,2300,1152,89.0,4802954.856186422,276003.28862739983,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,4000,2304,60.0,4802954.856186422,1805267.7243366921,1017245.6915716137,8960340.83311872
3.0,0.0,3.0,1600,2720,76.0,4802954.856186422,589630.3988266988,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,4000,1672,78.0,4802954.856186422,1093383.352206826,1017245.6915716137,8960340.83311872
2.0,1.0,3.0,1600,3000,88.0,5063551.579976352,5321808.938237579,1017245.6915716137,5770737.687805806
1.0,0.0,1.0,2000,928,99.0,4802954.856186422,4536793.06880105,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,1911,2560,63.0,3861703.9736522343,5411514.810193475,1017245.6915716137,8960340.83311872
0.0,8.0,8.0,7040,11000,50.0,3861703.9736522343,6476141.155196862,32271016.052699663,5770737.687805806
1.0,0.0,1.0,1600,960,77.0,4802954.856186422,338836.3118425646,1017245.6915716137,4706271.377821998
2.0,0.0,2.0,5000,2666,98.0,4802954.856186422,1093383.352206826,1017245.6915716137,3748205.2976491596
2.0,0.0,2.0,2585,1388,94.0,4802954.856186422,1066619.3996571056,1017245.6915716137,8960340.83311872
0.0,1.0,1.0,5000,5000,87.0,5063551.579976352,4374883.979494905,32271016.052699663,8960340.83311872
1.0,0.0,1.0,2000,1168,98.0,4802954.856186422,225464.37264503955,1017245.6915716137,8960340.83311872
1.0,0.0,1.0,2000,1248,86.0,4802954.856186422,535932.9023346939,1017245.6915716137,5605166.105268096
3.0,0.0,3.0,1950,3357,119.0,5063551.579976352,1924065.144958614,1017245.6915716137,8096569.671146394
0.0,2.0,2.0,7532,112850,10.0,35225126.574949324,18890182.40240153,32271016.052699663,15639642.256123416
2.0,0.0,2.0,2400,1632,94.0,4802954.856186422,29055204.37865142,1017245.6915716137,9385416.083075248
0.0,3.0,3.0,2375,8000,104.0,35225126.574949324,7215161.320170985,32271016.052699663,8960340.83311872
2.0,0.0,2.0,1667,2880,119.0,5063551.579976352,2316976.659908732,1017245.6915716137,4690409.247198905
1.0,0.0,1.0,3500,1092,75.0,4802954.856186422,374997.4832327893,1017245.6915716137,9385416.083075248
2.0,0.0,2.0,3811,1320,109.0,836270.3489777793,508657.57120637345,1017245.6915716137,13833978.22534021
0.0,13.0,13.0,5775,8400,88.0,4802954.856186422,5978378.233137703,32271016.052699663,9385416.083075248
1.0,0.0,1.0,7320,2178,41.0,836270.3489777793,213848.76848629853,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,2000,1560,72.0,3861703.9736522343,1593768.1236242838,1017245.6915716137,8096569.671146394
2.0,0.0,2.0,1800,2352,117.0,5063551.579976352,2826500.752632177,1017245.6915716137,3485652.1876102965
1.0,0.0,1.0,39392,646,4.0,5063551.579976352,12695762.2579782,14936873.340818262,9385416.083075248
2.0,0.0,2.0,1758,2142,89.0,5063551.579976352,1299348.265118323,1017245.6915716137,4343821.370997797
2.0,0.0,2.0,3360,1948,89.0,4802954.856186422,4536793.06880105,1017245.6915716137,1671365.5447206842
1.0,0.0,1.0,44000,1671,92.0,4802954.856186422,3658924.870576323,14936873.340818262,9385416.083075248
1.0,0.0,1.0,3520,1304,69.0,4802954.856186422,3658924.870576323,1017245.6915716137,8960340.83311872
2.0,0.0,2.0,5254,2713,120.0,836270.3489777793,265974.8803513571,1017245.6915716137,4343821.370997797
2.0,0.0,2.0,1645,2736,116.0,3861703.9736522343,561288.7498758736,1017245.6915716137,3485652.1876102965
4.0,1.0,5.0,1600,5200,95.0,5063551.579976352,8194924.322915015,14936873.340818262,3064399.882117014
2.0,0.0,2.0,2300,1248,97.0,4802954.856186422,224905.3363518097,1017245.6915716137,1437757.6132409582
