latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1228,"88 greenwich street, 1027",1027,10006,"635,000",88 greenwich street,1,0,1,5000,2169,95
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1244,"88 greenwich street, 1116",1116,10006,"637,000",88 greenwich street,3,0,3,2433,3120,56
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1258,"88 greenwich street, 1208",1208,10006,"675,000",88 greenwich street,6,0,6,2744,5600,87
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1264,"88 greenwich street, 1214",1214,10006,"685,000",88 greenwich street,1,0,1,2000,1400,105
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1294,"88 greenwich street, 1407",1407,10006,"1,444,000",88 greenwich street,0,1,1,23585,12648,10
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1298,"88 greenwich street, 1411",1411,10006,"1,700,000",88 greenwich street,2,0,2,2000,1800,60
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1314,"88 greenwich street, 1513",1513,10006,"625,000",88 greenwich street,1,0,1,1940,1262,80
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1343,"88 greenwich street, 1802",1802,10006,"600,000",88 greenwich street,1,0,1,1280,1585,80
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1400,"88 greenwich street, 2601",2601,10006,"980,000",88 greenwich street,1,0,1,2800,1220,93
40.707784,-74.013814,"""88 Greenwich St""",1,FINANCIAL,18,1437,"88 greenwich street, 3304",3304,10006,"1,080,000",88 greenwich street,1,0,1,3990,1412,79
