,latitude,longitude,address,BOROUGH,NEIGHBORHOOD,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,SALE PRICE,ADDRESS_NEW,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,PROPERTY AGE,property_data,cluster no
9009,40.684168,-73.953904,"""1149 Bedford Ave""",3,BEDFORD STUYVESANT,1822,1010,"1149 bedford avenue, 5b",5B,11216,"845,000",1149 bedford avenue,0,1,1,21814,43225,111,9009,1
9241,40.693787,-73.957074,"""152 Skillman St""",3,BEDFORD STUYVESANT,1913,1708,"152 skillman street, 8",8,11205,"460,000",152 skillman street,0,1,1,67886,50000,22,9241,1
9273,40.686583,-73.955117,"""151 Quincy St""",3,BEDFORD STUYVESANT,1971,1207,"151 quincy street, 3b",3B,11216,"770,000",151 quincy street,90,0,90,17227,95040,85,9273,1
9286,40.892488,-73.342883,"""39 Jefferson Avenue""",3,BEDFORD STUYVESANT,1996,1401,"39 jefferson avenue, 1",1,11216,"1,110,038",39 jefferson avenue,0,53,53,4970,28850,9,9286,1
9556,40.683611,-73.980916,"""324 Dean Street""",3,BOERUM HILL,198,1009,"324 dean street, 3a",3A,11217,"1,635,000",324 dean street,0,4,4,20000,60000,100,9556,1
9654,40.628607,-73.99701,"""1342 59th Street""",3,BOROUGH PARK,5712,1102,"1342 59th street, 2",2,11219,"750,000",1342 59th street,0,1,1,9530,49197,109,9654,1
9661,40.617374,-74.002911,"""15th Avenue Mini Market Corp""",3,BOROUGH PARK,5366,1018,"3805 15th avenue, 40",40,11218,"790,000",3805 15th avenue,0,4,4,14571,14012,10,9661,1
9707,40.637208,-73.979699,"""406 Dahill Road""",3,BOROUGH PARK,5457,1031,"886 dahill road, 406",406,11204,"885,878",886 dahill road,47,0,47,79608,55331,17,9707,1
9737,40.625979,-73.9777,"""1935 49 Road""",3,BOROUGH PARK,5457,1070,"1935 49th road, g06",G06,11204,"992,794",1935 49th road,78,0,78,15000,67652,93,9737,1
9794,40.626221,-73.978121,"""1925 49 Road""",3,BOROUGH PARK,5457,1138,"1925 49th road, 404",404,11204,"997,885",1925 49th road,79,0,79,18560,86500,89,9794,1
9815,40.626221,-73.978121,"""1925 49 Road""",3,BOROUGH PARK,5457,1159,"1925 49th road, 803",803,11204,"940,435",1925 49th road,44,5,49,10625,58650,94,9815,1
9820,40.626385,-73.978405,"""1913 49 Road""",3,BOROUGH PARK,5457,1164,"1913 49th road, g01",G01,11204,"935,000",1913 49th road,99,0,99,14500,88227,10,9820,1
